ticker,date,period_ending,estimate,reported,surprise,surprise%
CTLT,29-AUG-22,Jun 2022,1.15,1.19,0.04,3.48
EXAS,02-AUG-22,Jun 2022,-1.07,-0.94,0.13,12.15
CHE,27-JUL-22,Jun 2022,4.78,4.84,0.06,1.26
ACHC,27-JUL-22,Jun 2022,0.77,0.84,0.07,9.09
HALO,09-AUG-22,Jun 2022,0.5,0.53,0.03,6.0
PEN,04-AUG-22,Jun 2022,-0.07,0.01,0.08,114.29
KRTX,08-AUG-22,Jun 2022,-2.02,-2.17,-0.15,-7.43
IONS,09-AUG-22,Jun 2022,-0.61,-0.74,-0.13,-21.31
INSP,02-AUG-22,Jun 2022,-0.59,-0.53,0.06,10.17
NVST,03-AUG-22,Jun 2022,0.46,0.48,0.02,4.35
MASI,09-AUG-22,Jun 2022,1.19,1.35,0.16,13.45
MEDP,25-JUL-22,Jun 2022,1.34,1.46,0.12,8.96
EHC,01-AUG-22,Jun 2022,0.97,0.89,-0.08,-8.25
ELAN,08-AUG-22,Jun 2022,0.26,0.36,0.1,38.46
HQY,06-SEP-22,Jul 2022,0.34,0.33,-0.01,-2.94
EXEL,09-AUG-22,Jun 2022,0.2,0.22,0.02,10.0
TDOC,27-JUL-22,Jun 2022,-0.71,-0.44,0.27,38.03
LHCG,03-AUG-22,Jun 2022,1.32,0.98,-0.34,-25.76
AMN,04-AUG-22,Jun 2022,2.96,3.31,0.35,11.82
GH,04-AUG-22,Jun 2022,-1.25,-2.25,-1.0,-80.0
GMED,04-AUG-22,Jun 2022,0.54,0.56,0.02,3.7
ENSG,01-AUG-22,Jun 2022,1.01,1.01,0.0,0.0
OPCH,27-JUL-22,Jun 2022,0.22,0.19,-0.03,-13.64
ITCI,09-AUG-22,Jun 2022,-0.79,-0.92,-0.13,-16.46
PRGO,09-AUG-22,Jun 2022,0.44,0.43,-0.01,-2.27
QDEL,04-AUG-22,Jun 2022,3.69,2.12,-1.57,-42.55
THC,21-JUL-22,Jun 2022,0.72,1.5,0.78,108.33
HAE,10-AUG-22,Jun 2022,0.53,0.58,0.05,9.43
APLS,08-AUG-22,Jun 2022,-1.43,-1.46,-0.03,-2.1
NTLA,04-AUG-22,Jun 2022,-1.31,-1.33,-0.02,-1.53
DVA,01-AUG-22,Jun 2022,2.11,2.3,0.19,9.0
